Year,Genre,MIR_pc_1,MIR_pc_2,lyric_pc_1,lyric_pc_2,lyric_range,MIR_range
2001,New Age,-32.449562091044754,-37.11481648278179,-3.0341662342001725,0.8443987230503905,0.0,0.0
1974,Gospel,-24.770272249350377,11.463167261411053,-0.48578113390113975,2.47180724470713,0.0,0.0
1975,Gospel,-38.349065955703004,5.9198705625210435,0.9569697366832848,1.8802595991708368,0.0,4.440892098500626e-16
1976,Gospel,-36.042600893500406,-17.204148932948193,-1.5529078330163368,1.6971699645270029,0.0,1.3322676295501877e-15
1977,Gospel,-9.888124941160422,-42.68356851397956,-4.654618173705122,1.9353795007002492,0.0,0.0
1978,Gospel,-17.12764337540136,-3.3610460471412957,-2.1104833300656543,-0.17373489015474605,0.0,4.440892098500626e-16
1981,Gospel,-9.703256263387948,-7.148492846136886,-2.319143778172466,0.8350539969934555,0.0,0.0
1985,Gospel,-9.278519491545964,0.06456509096875764,-1.6751800114091757,1.0821809834373912,0.0,0.0
1988,Gospel,10.42323734567455,-24.04059533600321,-2.668036486086649,0.14894339033683535,3.2134604454040527,1.6586619975179184
1991,Gospel,4.413066406580541,4.199325290672569,-1.715654827518059,0.4588782723574528,4.920699119567871,0.8624012540994084
1992,Gospel,35.94336538616805,17.470428790323446,-3.1513952579345816,-0.14403106531189017,5.581127166748044,1.5896521183518502
1993,Gospel,6.012506332014064,34.55936038668415,-5.4509879588119015,-0.8148049881183635,0.0,0.0
1994,Gospel,5.695436459613717,-24.497685137391876,-2.8474436302186286,-1.411130572057733,0.8808164596557617,0.07479574843863124
1995,Gospel,-7.371524417836121,1.4399892581222944,-0.43254993595995633,0.853042532517464,0.0,8.881784197001252e-16
1996,Gospel,-17.935013925511626,-4.3708756237587885,-5.290087827786555,-2.751073814584552,0.0,0.0
1998,Gospel,1.3329565732733015,-7.336450121330354,-0.5305307274219891,0.04791368461746191,0.0,0.0
2000,Gospel,33.815732222787176,-11.993180938692452,-2.240346013020981,-0.42533354875398355,0.0,0.0
2002,Gospel,-12.534846658125923,15.929761694364679,1.0567916206415615,-1.2407485218493792,0.0,8.881784197001252e-16
2003,Gospel,-5.599858850660423,-0.22035788752121552,-2.5503862283805456,0.07776331008587264,2.3366613388061523,0.9621121571949094
2008,Gospel,188.8147429423952,-18.648561776882957,-2.5307980668296763,0.2284367063160825,0.0,0.0
2009,Gospel,-42.74083605544679,55.207515267015154,5.191322596770019,-0.22210855084017797,0.0,0.0
2011,Gospel,-23.777732999523973,-19.47892680079037,-1.079050340436242,1.365642412866423,0.0,0.0
1982,Gospel,-40.90761524951592,69.44649808997686,-1.9529918606037777,-2.6178197003849037,0.0,0.0
1974,Electronica,-92.02164861000824,-19.535454237613695,0.1229495480685391,0.2605414237388426,0.0,0.0
1975,Electronica,-18.36530746896208,-37.0873251728037,1.3728856535648397,0.592271347416149,0.0,0.0
1976,Electronica,13.142215634395944,1.7515021903365553,-1.9866921512508116,-0.28492111362036365,0.0,0.0
1977,Electronica,-56.504988216575526,0.7745840499258059,0.5721040679678885,3.2131186964106186,0.0,0.0
1978,Electronica,11.799075391666692,2.08163047551531,0.5678287422231705,-0.9736482879759565,9.636592864990234,0.6901480438231857
1979,Electronica,-6.271637394697145,0.002347785250860603,-1.5587631300030267,-0.5712404222499632,4.588916778564451,0.967404170074868
1980,Electronica,-16.804851493004062,-6.719857598701808,-1.2874024696429722,-0.840210680443511,2.0939197540283185,1.9532154926815344
1981,Electronica,-40.31275405060138,49.27350192868972,-0.6534615011499094,-0.8789142384927519,0.0,0.0
1982,Electronica,-0.18239632805921416,3.125457297851785,-3.9552359159365977,-1.0822592992499096,1.8049297332763672,2.7708872081847358
1983,Electronica,-16.93509262700121,16.90696313775687,-1.56875226439561,1.0672932963541006,7.309693336486816,3.8735062319832116
1984,Electronica,20.358604185069314,2.333200337078563,-2.4158840847367786,-0.05536652493433969,4.406391143798828,2.149640430818684
1985,Electronica,-19.204338112526543,-1.7098478643816946,0.4043995375980435,0.5460051113022247,5.8266844749450675,2.038237206358694
1986,Electronica,17.810791460292563,-0.40696056345939535,-1.158864788758674,0.1760544305945961,3.549145698547365,0.8088654406080031
1987,Electronica,-1.0294964666396578,4.4354365186584905,-1.1453205650173597,0.3168893952767683,10.225090980529787,3.200382000449992
1988,Electronica,6.765753129350849,7.546496557996479,-0.28518253166066676,-0.29551078677496384,8.214862823486326,3.076520240705967
1989,Electronica,-0.19215127017821412,-0.0577663949026171,-0.5982102223397279,-1.2985071735301412,11.362095832824707,3.9247882876983295
1990,Electronica,5.8883856700111945,3.1679658830724517,0.10723258787460782,-0.9240087916568496,13.813872337341307,4.119639326462104
1991,Electronica,9.911554871156305,6.730297486130387,-0.7167887381928129,-0.43620535088791434,9.034309387207033,3.6949323917621615
1992,Electronica,28.525130231478855,7.505780739033191,-0.3179917466738884,-0.16641232293615296,12.694031715393065,4.7648030618313655
1993,Electronica,29.99751374576863,7.398263399641101,0.012324967117868684,-0.9976891365501467,12.437469482421873,4.2890242263927725
1994,Electronica,21.244297526081077,3.485857980158471,1.1790301205911355,-1.1082519716171468,17.68822622299194,9.447620188589317
1995,Electronica,2.6789999195919143,10.007837511144631,1.0923747084657494,-1.1882549063787036,16.419157981872555,8.11921877705472
1996,Electronica,16.428623328709552,7.325569525437836,-0.6818042734914451,-0.7886690506897351,16.67172241210938,2.3793143711018105
1997,Electronica,0.5757558329595321,6.069556984732058,-0.7926994034850363,-1.196855942450025,16.298379898071293,9.424697486944183
1998,Electronica,4.55547680493655,2.5749528777504946,1.5205470389131543,-1.5590566379895583,14.506989479064936,2.9634478594085087
1999,Electronica,94.6723861625015,4.715010241605471,-2.0180704927971305,-1.5095293344202925,0.0,0.0
2000,Electronica,19.454469222382208,19.168137930182997,1.2040059849093323,0.24066795229542257,13.7018461227417,1.6675530477334461
2001,Electronica,12.091179754968937,8.668519037460484,0.26359067312064555,-1.4630326583244029,17.048208236694336,2.5374273728678363
2002,Electronica,-10.913404243981228,-4.86701848993052,-1.0325802880756323,-0.20764459829623746,5.471479415893552,1.4699589179259798
2003,Electronica,79.52577843190821,5.888194967502453,0.9194399867451035,-0.00945481619895327,3.0283021926879883,0.6472835410777149
2004,Electronica,-11.128626792820958,14.850584174267338,-3.141937259143327,-2.3585777168131994,1.3335771560668943,1.4023854051008608
2005,Electronica,-12.639209482790763,-46.830726047606824,-3.033449311679206,1.492563555573443,0.0,0.0
2006,Electronica,-5.241813861164124,12.398151594970011,-3.579712301271637,0.1928333686451589,0.0,1.1102230246251563e-15
2007,Electronica,1.9013361340570065,11.263841102899665,9.863241109567815,-1.9999976351931519,0.0,0.0
2008,Electronica,4.626904328852728,5.800283111542824,1.2425803349828943,-0.7620257768150323,11.764479637145994,2.0438748078123417
2009,Electronica,-18.12738726353198,2.4197809606064618,1.390997677625746,-1.009440976522522,9.642886161804196,3.8539097041161514
2010,Electronica,-12.403816954227743,7.745270372876332,2.2390199124613095,-0.47804149177129257,11.473294734954836,2.4258768367922423
2011,Electronica,-1.261957582904508,12.6468474910588,1.8569983574873985,-2.233654657939785,8.514310836791992,6.477114669395094
2012,Electronica,7.63680244892626,13.040283277944571,2.068474451038834,-0.6493732342559674,24.80348253250122,4.4074781912533165
2013,Electronica,10.703491925756001,6.61680516708424,-0.7383822628744352,1.4192850826514323,11.411545753479006,1.412267595767864
1974,Jazz,-36.622564316994975,-26.639210177741,0.11893657590770554,0.2627821138835709,0.0022872369736432994,1.2183324486453857
1975,Jazz,-33.8368763927342,-25.55441880132787,0.3076233082162395,-1.7319956706014754,11.682413101196294,1.5855381036638332
1976,Jazz,-12.37575318423483,-18.690961109419824,-0.8543105389599215,-0.11830490196004126,11.234669208526613,1.3959405009935382
1977,Jazz,-22.768840844828766,5.213928239978828,-2.4929887686364474,-0.08179010741829519,4.2800817489624015,3.5648503016609108
1978,Jazz,-7.9430180885667845,-10.754195099213268,0.22579187718010527,1.8540059382048322,10.102915287017822,4.492105804448215
1979,Jazz,8.128892476569774,-1.1841213187387822,-1.0920819270874396,-0.02017818177342288,7.631590843200684,3.18111003191198
1980,Jazz,0.8523917659838566,-5.946030834625171,-2.1820546793606965,-1.2865588827654788,9.283771514892578,1.7388053611148986
1981,Jazz,15.720834325031927,-27.020055016250936,-1.7388627684958848,-0.37721739040616653,6.185895919799805,0.3891630567565434
1982,Jazz,-1.2556432830945827,-5.596185191652528,-1.5748461864982732,-1.6362911451304207,8.716890811920166,1.6665951189617811
1983,Jazz,6.504319137828063,-3.148345750069291,-1.9026869006879519,-1.3229563518430827,5.735641002655027,1.241514876198766
1984,Jazz,64.63580977173422,-9.116395144420826,-3.9200722680255637,-5.323172349298954,0.0,0.0
1985,Jazz,-24.4181401089284,-3.10263015723467,-1.1870897285539441,2.3206444553071863,5.517024040222168,1.059500507358053
1986,Jazz,5.439686234684918,16.541008930432135,-2.4043693097553747,0.7303679344173949,0.0,4.440892098500626e-16
1987,Jazz,30.011944511541355,-6.855404344733476,-2.6562755261860445,0.018998417542976282,1.3567419052124006,1.3582850498798402
1988,Jazz,-88.89887625375586,-33.54638093114296,-2.342296288606095,1.6194364457029766,0.0,0.0
1989,Jazz,37.402849372106616,-6.95431852343984,-1.6321088376115316,0.6663530098979886,0.0,0.0
1990,Jazz,100.41195318368985,-30.045803465389284,1.8677546358322168,-4.644045695698015,0.0,0.0
1991,Jazz,27.29683340777143,0.4471208909972041,-3.3003039787405815,0.4498479643167864,0.0,4.440892098500626e-16
1992,Jazz,31.920214143962788,18.030669640193537,-1.0819746695148644,-0.5370511820382587,4.406778335571287,1.8595696221881293
1993,Jazz,67.51885874625302,-0.9184600130337941,-0.9422676527753652,0.6368633852454991,4.833453178405762,0.9309360621530038
1995,Jazz,31.742294629146627,26.772282980324228,-2.6369607823860726,0.5337554296773113,0.0,0.0
1996,Jazz,122.38951570445066,72.17726320171289,-0.6297403368119437,-1.0005626665805256,0.0,0.0
1997,Jazz,1.903762914001916,-2.3467646914166074,-2.8106711700202824,-0.3704183285979933,0.0,0.0
2000,Jazz,244.22425442957513,-22.280438394343403,2.1259529826503676,5.863775766299231,0.0,0.0
1975,Easy,-21.774742249719832,13.23608933558752,-1.0797501743417144,-0.9590059698980521,2.675295352935789,0.16294124463689474
1976,Easy,-36.7203659711619,-21.792363465626806,0.11494638781693652,0.2624886932875569,0.0,0.0
1977,Easy,-67.67593440787206,-4.016434513200078,0.11361140526469787,0.2637040787907273,0.0,0.0
1978,Easy,-33.082026998728466,-29.750353269220355,-2.9037628592621894,0.5716645652045105,0.0,0.0
1979,Easy,-20.93072268961586,7.614597066444762,0.051049564655263766,-1.3153236680452298,3.2859420776367188,1.2724381540920768
1980,Easy,-5.204508587704791,-7.40348767743578,-1.4698167957708104,-0.16883325220765547,0.0,0.0
1981,Easy,-0.3386495103015983,-37.131543743248024,0.10598864916619741,3.9165095787965414,0.0,0.0
1982,Easy,-28.222619828992986,10.983667171509046,2.249246056064637,-1.2265643546129863,0.0,0.0
1983,Easy,11.399876402542077,-8.035516783499698,-2.5327880411334087,0.49754695033380136,3.9817476272582986,1.1362066722769717
